G1,G2,G3
-0.29810153485236496,-0.25086186596592736,-0.21756728598870595
-0.3009863774954807,-0.2740021638002679,-0.23206731048260795
-0.31912812350161623,-0.2785338160670627,-0.22745108525285912
-0.27402155913144216,-0.3041323817896992,-0.24300282397704867
-0.2889123831480858,-0.2857732515477386,-0.21818604143467066
-0.29147666237240427,-0.2569561045088049,-0.2211910291606292
-0.32508640148187573,-0.2589779048194884,-0.2225756999363261
-0.32284939840717836,-0.2642755486112865,-0.22295699139738528
-0.3151819334088679,-0.2769843591159815,-0.22191521627733193
-0.2916320136606362,-0.29553943936828875,-0.23951491203260827
-0.30833138259529547,-0.2570224769970977,-0.21867800573710042
-0.31749323648330446,-0.2578213241707099,-0.2125050858439349
-0.30480590577880484,-0.24164648451144902,-0.21555245308350854
-0.304142418413207,-0.2622373658323842,-0.2312217353586601
-0.2902037433304655,-0.2752722154191717,-0.22588781540865166
-0.2893206491870543,-0.27037481592775375,-0.23165098741834905
-0.3048903301606265,-0.26500184444526137,-0.2273211767096984
-0.3141779229275282,-0.26024895433464224,-0.22665135142428885
-0.3180337239884164,-0.2785864831315642,-0.22563128716215786
-0.3384519929672041,-0.2595819445572404,-0.2178967635678739
-0.30566397001792367,-0.2691581478034843,-0.22335816082577264
-0.307426995899218,-0.2630294129227483,-0.21894947131160458
-0.30727603097037104,-0.25891667705224186,-0.22286050734965057
-0.2925518467880164,-0.2815109448889976,-0.23474053310149853
-0.2869960978381514,-0.2739494884681525,-0.2316008910406706
-0.26067450162855377,-0.34121286571771214,-0.24990791959773562
-0.312684481057836,-0.2520955287777481,-0.22704090026480203
-0.3232221895719584,-0.24999052086824985,-0.2207508819767168
-0.2774678655187286,-0.31727298821288136,-0.23797395923027007
-0.30572727407700895,-0.28629374986181605,-0.22920916148117115
-0.31766799136765766,-0.2575587206339071,-0.20775652066262715
-0.30909444870646646,-0.2734619219183839,-0.23534583756897942
-0.3107880081671092,-0.2565272683795407,-0.225043753769935
-0.30124700204308286,-0.28037333758736854,-0.23880863041563669
-0.26225527991676967,-0.3161350134557074,-0.24335718641416762
-0.3357602588122956,-0.24919737106192508,-0.21863906538076794
-0.279520989059767,-0.28789067056685724,-0.23060208572105442
-0.30478450743233426,-0.2698926551105956,-0.23021652688511016
-0.3337284050578101,-0.24375242089826904,-0.21444641567773826
-0.3110907697368154,-0.23393496054401833,-0.22020770894649622
-0.3127558292566602,-0.2769554459385505,-0.223509653421364
-0.3154360518303696,-0.25396778704994805,-0.22900502329831868
-0.26114312573948834,-0.3058004921057288,-0.23350851514984067
