G1,G2,G3
-0.1520917384348336,-0.4771067983199373,-0.3025774880964779
-0.14162515351683824,-0.47190848590956047,-0.3164281251829957
-0.15106332400559114,-0.3966805465717664,-0.30254312395025346
-0.16406852883363351,-0.4604510573330774,-0.31656999892004384
-0.18140070100518385,-0.36961046213854426,-0.28727701129179045
-0.2112157975008637,-0.36750719101783913,-0.2708637308445719
-0.1331795644589751,-0.4458569116801554,-0.3012804882574103
-0.09498088693160663,-0.6178994105780168,-0.3530976544945583
-0.16755514855933273,-0.45065562172372925,-0.2998624662520538
-0.09922119896685039,-0.5278364978451638,-0.3401605028856245
-0.09328755627881533,-0.592490111666364,-0.36835273626814985
-0.2044755902002652,-0.38422328607759615,-0.2810845086744195
-0.17266614881117845,-0.4464962280115607,-0.303990645785944
-0.15456418853282472,-0.411017690676091,-0.2979028392318083
-0.14653617540644856,-0.5152568549833535,-0.3371391240625942
-0.19379217327311207,-0.42045344256717804,-0.2742432924734708
-0.08148798590055387,-0.5615546821246739,-0.347456231175384
-0.18925411249654814,-0.45000780120343525,-0.3172551947071689
-0.16291417328635152,-0.44134386008478066,-0.3032938419981233
-0.14693074752583923,-0.45353731416966653,-0.31181822751251936
-0.21062114777214205,-0.36560197383305176,-0.2831853181985691
-0.176807226232136,-0.41079329143480414,-0.2932416172711912
-0.21261003632324288,-0.36415792888121823,-0.2792632654359566
-0.06358394963677919,-0.5984449504945193,-0.3701536080813675
-0.10352894320692085,-0.5525337106903313,-0.3498578472308258
-0.07988375343423482,-0.5056984185167979,-0.37104091064976996
-0.06884547300584337,-0.6107076829568415,-0.3582048708877067
-0.13576497428019074,-0.4275862584141637,-0.32202784257761463
-0.1741106751814834,-0.4218311648540501,-0.30998525315915704
-0.09770420446725941,-0.6212586375502313,-0.36619678103590647
-0.11831861439913993,-0.4701900489073857,-0.3020496198650581
-0.1612162541315231,-0.46344914582637664,-0.2960127587267946
-0.11691662879496725,-0.5424536663180936,-0.3517986090275328
-0.19402214846153937,-0.3917773241030911,-0.29072567850951214
-0.15100484174760778,-0.3741825947660322,-0.2895152414023961
-0.14047119051462104,-0.42419712568233026,-0.3041341074782465
-0.19745825712944862,-0.4163650850894112,-0.28856432611738075
-0.1663827331654214,-0.44296410156217886,-0.3099969715845493
-0.17112520179389915,-0.402617531743851,-0.2832384469198396
-0.20332730602354585,-0.3683931310426582,-0.258675023366263
-0.08666497373072984,-0.4927272951921801,-0.3211188667863371
-0.13439259537650786,-0.4239210788091405,-0.2830096604054077
-0.18728691892631183,-0.46607451987574267,-0.30943112973120085
-0.2161265938162652,-0.3767479251256939,-0.27468983629347654
-0.17675059624575298,-0.43499363654703876,-0.28496059275392566
-0.04945491374944128,-0.5884488052511764,-0.37014614852697875
-0.173623140209953,-0.4660809377332297,-0.3064950264491822
-0.16962736728595657,-0.3935376351619531,-0.2913598967556798
