G1,G2,G3
-0.3282918857485067,-0.2558631637975178,-0.1949293375474126
-0.34949905803502906,-0.30028065383023833,-0.21706130559160727
-0.3035489264214067,-0.2737567375520028,-0.21198607022312918
-0.3368123626579299,-0.27267212726819984,-0.19805905161280674
-0.32582198221941083,-0.27083202929242095,-0.222991655652915
-0.33588073448878863,-0.2769852201707714,-0.20921987007608367
-0.31637939780940205,-0.2961303416686827,-0.21268974773953325
-0.3147299544447336,-0.27845268382038685,-0.21691519875235438
-0.31227678489310867,-0.2840912220991514,-0.2389748890391835
-0.3151077052708877,-0.26812383467002543,-0.2074612685950589
-0.32299243973093245,-0.27190297553265985,-0.22187352644799488
-0.332144780907877,-0.24512541031433746,-0.2020993159904336
-0.29899522832267866,-0.26510529679142414,-0.2230006184148765
-0.3429382473506642,-0.30117490088545396,-0.20559541279990518
-0.29804246387437333,-0.269237118523411,-0.20026537873417954
-0.3330527433293677,-0.2922154691649075,-0.22339833747221802
-0.32711039997795244,-0.26198997917302663,-0.20695784267030898
-0.318047366907158,-0.2776014414109695,-0.22232345145427518
-0.3333178394490336,-0.28191735892246644,-0.22364906523808767
-0.28849451185901437,-0.2706600344247369,-0.1979566920290491
-0.33159383980564633,-0.2600373453551545,-0.19053452922314054
-0.33167479127326566,-0.2535436201941459,-0.2178599540971329
-0.3391818935774671,-0.23495169485129463,-0.19763215357900418
-0.360446776262253,-0.24792609790080763,-0.19916669349614316
-0.33933579194840613,-0.2851857534319194,-0.2139957196371925
-0.32841352165645965,-0.2579900636855918,-0.2017581181957544
-0.33892853840917914,-0.28833228977814973,-0.2080090727474117
-0.28639504028533547,-0.2662869860753411,-0.20386097284759172
-0.3490195262361571,-0.24761340497622963,-0.19942269188270015
-0.3085547120643271,-0.27213466700603206,-0.21288531874288866
-0.32766363788557795,-0.27230305701124047,-0.2118121268042034
-0.3039877083267562,-0.2729658976535678,-0.2178558568076712
-0.3466642034249376,-0.2739711210743873,-0.20437488749679808
-0.30149139285394283,-0.2941435612429991,-0.20772636225513708
-0.27919770960957546,-0.26564123544701934,-0.229967333167855
-0.3309901839312384,-0.2833577058614067,-0.20315810277550783
-0.33313445010928666,-0.24842934837505506,-0.2068669160251451
-0.30990766468608216,-0.2966915729800802,-0.21532040675586558
-0.3277275668974048,-0.2822197557822362,-0.2142531421096916
-0.3065700380810875,-0.27306937052444136,-0.20345612537322874
-0.3008482194283249,-0.27465689383673375,-0.23529162480519375
-0.3128528181737817,-0.27081719589188974,-0.20400002000716613
-0.32437095667874233,-0.2868490379359823,-0.2192481317422347
-0.33307479178534755,-0.25082551526138497,-0.20249487232783
-0.28860235194687167,-0.28623944391625,-0.21834418520507456
-0.3223198399962055,-0.28299165812073385,-0.21298954723661764
-0.3447786001027674,-0.27474603305259243,-0.20658860620446656
-0.2956902555321175,-0.25709474093317924,-0.21866730180331248
-0.3280272885228693,-0.2692555727501468,-0.2040309423408418
-0.30107425066515636,-0.2959100557479644,-0.22732780337938152
-0.3127967551552743,-0.2758971550971944,-0.20613915437036265
-0.35963454663854066,-0.28680757428742737,-0.2049553855548844
-0.3092469968768154,-0.2572801467682567,-0.20098472502067777
-0.296784640001016,-0.30164218451058494,-0.2092508562026467
-0.3257956332213051,-0.2625827889842617,-0.2137162202461833
-0.3267436322029904,-0.28859312636970474,-0.20991218110515816
-0.32649813822409324,-0.2818403089371703,-0.19548361036442824
